cand_party
AUSTRALIAN GREENS
INDEP
LIBERAL
LIBERAL DEMOCRATS
AUSTRALIAN LABOR PARTY
ANIMAL JUSTICE PARTY
FIONA PATTEN'S REASON PARTY 
THE BASICS ROCK 'N' ROLL PARTY
FAMILY FIRST
GREENS
SEX PARTY
ALP
SA
CEC
